client_id,items_ordered,rating
3311620,526051,1
3311620,526003,1
3311620,16048,1
3311620,16145,1
3311620,16040,1
3311620,16060,1
3311620,16061,1
3311620,2122698,1
3311620,1673903,1
3311620,1681258,1
3311620,1673998,1
3311620,1681262,1
3311620,1186085,1
3311620,1186009,1
3311620,1186097,1
3311620,1186094,1
3311620,1051228,1
3311620,1051270,1
3311620,1051272,1
3311620,984449,1
3311620,984527,1
3311620,984525,1
3311620,984535,1
3311620,986161,1
3311620,961164,1
3311620,961200,1
3311620,961199,1
3311620,1051231,1
3311620,1051335,1
3311620,1052773,1
3311620,16063,1
3311620,16146,1
3311620,2156933,1
3311620,1475556,1
3311620,1475679,1
3311620,1475738,1
3311620,1475735,1
3311620,1475564,1
3311620,1052772,1
3311620,1052736,1
3311620,1997349,1
3311620,1997372,1
3311620,2416590,1
3311620,2416593,1
3311620,1997494,1
3311620,1997492,1
3311620,16072,1
3311620,57961,1
3311620,57964,1
3311620,57972,1
3311620,57986,1
3311620,1934638,1
3311620,1934643,1
3311620,1934670,1
3311620,1934765,1
3311620,1673882,1
3311620,1997532,1
3311620,1997479,1
3311620,57977,1
3311620,1475550,1
3311620,1475696,1
3311620,1475741,1
3311620,1203114,1
3311620,572184,1
3311620,3161470,1
3311620,3161619,1
3311620,3161721,1
3311620,3161729,1
3311620,3161776,1
3311620,526079,1
3311620,16187,1
3311620,2925356,1
3311620,2926919,1
3311620,1673902,1
3311620,1673907,1
3311620,1752055,1
3311620,2984311,1
3311620,2984355,1
3311620,2984130,1
3311620,24409,1
3311620,24443,1
3311620,24446,1
3311620,24486,1
3311620,24492,1
3311620,1997406,1
3311620,1052731,1
3311620,2462564,1
3311620,913233,1
3311620,2811944,1
3311620,2217966,1
3311620,1673999,1
3311620,961219,1
3311620,1062221,1
3311620,1112132,1
3311620,1112190,1
3311620,1112153,1
3311620,1112158,1
3311620,961155,1
3311620,1552710,1
3311620,1586280,1
3311620,1552767,1
3311620,1552777,1
3311620,1552764,1
3311620,1552763,1
3311620,526031,1
3311620,3463178,1
3311620,3463250,1
3311620,3463198,1
3311620,3463155,1
3311620,3463145,1
3311620,2462562,1
3311620,2811955,1
3311620,1051230,1
3311620,24489,1
3311620,961247,1
3311620,2462589,1
3311620,16045,1
3311620,24477,1
3311620,2122696,1
3311620,2637421,1
3311620,2638013,1
3311620,2638074,1
3311620,2638254,1
3311620,2638390,1
3311620,2638047,1
3311620,526090,1
3311620,1932214,1
3311620,1932090,1
3311620,1932077,1
3311620,1932228,1
283360,1475562,1
283360,1475796,1
283360,1475742,1
283360,1633999,1
283360,1526690,1
283360,668971,1
283360,668951,1
283360,1475879,1
283360,1475702,1
283360,1475741,1
283360,1475903,1
283360,2604532,1
283360,1939100,1
283360,855784,1
283360,1934656,1
283360,1934643,1
283360,2604295,1
283360,2102860,1
283360,1062841,1
283360,1063537,1
283360,1062797,1
283360,1607967,1
283360,1063363,1
283360,2446612,1
283360,1288643,1
283360,1475898,1
283360,1085794,1
283360,1085814,1
283360,1738175,1
283360,1738770,1
283360,1738513,1
283360,1738690,1
283360,1738695,1
283360,1737985,1
283360,1738031,1
283360,55596,1
283360,55922,1
283360,1992027,1
283360,374167,1
283360,1475735,1
283360,3177326,1
283360,3177643,1
283360,3174204,1
283360,61195,1
283360,61161,1
283360,61199,1
283360,1475715,1
283360,1475756,1
283360,18490,1
283360,18475,1
283360,18531,1
283360,55799,1
283360,55844,1
283360,55877,1
283360,55916,1
283360,1866385,1
283360,1865657,1
283360,1085811,1
283360,1085823,1
283360,1077638,1
283360,1077724,1
283360,1077727,1
283360,1288733,1
283360,2604535,1
283360,18496,1
283360,3216091,1
283360,3216404,1
283360,3216107,1
283360,425794,1
283360,425840,1
283360,668418,1
283360,425938,1
283360,425814,1
283360,425964,1
283360,4109,1
283360,4075,1
283360,4161,1
283360,4146,1
283360,4580,1
283360,4618,1
283360,1699689,1
283360,1288899,1
283360,1288731,1
283360,4536,1
283360,1289251,1
283360,2729523,1
283360,2729608,1
283360,2729521,1
283360,1915064,1
283360,861544,1
283360,2429612,1
283360,861563,1
283360,1288668,1
283360,1475905,1
283360,1475705,1
283360,1475559,1
283360,1475680,1
283360,1865704,1
283360,3215611,1
283360,3216101,1
283360,3216104,1
283360,3216009,1
283360,3216417,1
283360,18509,1
283360,2731677,1
283360,4220,1
283360,4213,1
283360,6862,1
283360,6801,1
283360,6863,1
283360,1289213,1
283360,24443,1
283360,24440,1
283360,24477,1
283360,16063,1
283360,16187,1
283360,55225,1
283360,3366267,1
283360,16059,1
283360,16153,1
283360,38307,1
283360,16050,1
283360,29109,1
283360,29108,1
283360,29125,1
283360,318139,1
283360,936779,1
283360,572257,1
283360,572179,1
283360,29118,1
283360,1063458,1
283360,1062820,1
283360,1063326,1
283360,1063323,1
283360,2074237,1
283360,2074301,1
283360,2074331,1
283360,2074223,1
283360,2074425,1
283360,2074913,1
283360,2074895,1
283360,863271,1
283360,2336405,1
283360,1077639,1
283360,1077643,1
283360,2118752,1
283360,2118762,1
283360,2118816,1
283360,2118755,1
283360,5821,1
283360,9422,1
283360,750683,1
283360,750710,1
283360,750864,1
283360,750694,1
283360,750858,1
283360,750861,1
283360,2118721,1
283360,750721,1
283360,750722,1
283360,750711,1
283360,750698,1
283360,1601508,1
283360,1601505,1
283360,3380489,1
283360,1601506,1
283360,3269570,1
283360,2118799,1
283360,1475892,1
283360,1289283,1
283360,1475708,1
283360,1475719,1
283360,55906,1
283360,55915,1
283360,374178,1
283360,9432,1
283360,3667378,1
283360,750751,1
283360,18493,1
283360,18491,1
283360,55909,1
283360,55892,1
283360,2984311,1
283360,2984700,1
283360,2984152,1
283360,16141,1
283360,750746,1
283360,3640951,1
283360,1085829,1
283360,1456652,1
283360,1289290,1
283360,1785329,1
283360,3346565,1
283360,2735332,1
283360,2736029,1
283360,2736045,1
283360,2736008,1
283360,2734936,1
283360,1077625,1
283360,1077634,1
283360,1077637,1
283360,1051339,1
283360,1051334,1
283360,1051170,1
283360,20291,1
283360,20333,1
283360,1943385,1
283360,20213,1
283360,1052778,1
283360,1085817,1
283360,1085827,1
323515,1051259,1
323515,1051147,1
323515,1051241,1
323515,1051326,1
323515,1051240,1
323515,1052724,1
323515,2002263,1
323515,1051159,1
323515,1051145,1
323515,1051243,1
323515,1052740,1
323515,1052772,1
